title,max_players,genres,publisher,review_score,sales,price,console,age_rating,year,average_length
LocoRoco 2,1,"Action,Strategy",Sony,85,0.17,11.95,Sony PSP,M,2008,17.2666666666667
Drawn to Life,1,Action,THQ,73,0.75,17.95,Nintendo DS,T,2007,13.7166666666667
Madden NFL 09,4,Sports,EA,85,1.66,14.95,PlayStation 3,E,2008,15.8833333333333
Mega Man Star Force: Dragon,1,"Action,Role-Playing (RPG)",Capcom,60,0.41,27.95,Nintendo DS,T,2007,20.8166666666667
The BIGS,4,"Action,Simulation,Sports",2K,79,0.19,12.95,X360,M,2007,16.8166666666667
BWii: Battalion Wars 2,1,"Action,Simulation,Strategy",Nintendo,75,0.21,14.95,Nintendo Wii,T,2007,10.0333333333333
Transformers: The Game,1,Action,Activision,54,0.32,17.95,PlayStation 3,E,2007,7.23333333333333
Looney Tunes: Acme Arsenal,4,Action,,40,0.07,17.95,X360,M,2007,3.83333333333333
Legendary,1,Action,Atari,47,0.07,17.95,X360,T,2008,5.85
Devil May Cry 4,1,Action,Capcom,84,0.8,17.95,X360,T,2008,13.35
